left_right_vel;for_back_vel;up_down_vel;yaw_vel;target_x;target_side_len;target_y
0.425;0.4;0.525;0.275;0.07916666666666666;0.15416666666666667;0.25277777777777777
0.175;0.175;0.0;0.0;0.4197916666666667;0.22604166666666667;0.49583333333333335
0.2;0.25;0.2;0.175;0.2520833333333333;0.18125;0.42916666666666664
0.2;0.325;-0.175;0.175;0.25625;0.16458333333333333;0.5555555555555556
0.0;0.2;0.0;0.0;0.5083333333333333;0.19583333333333333;0.48194444444444445
0.0;0.425;0.0;0.0;0.5322916666666667;0.12604166666666666;0.5180555555555556
0.175;-0.275;-0.2;0.0;0.403125;0.303125;0.5680555555555555
0.0;-0.175;0.225;0.0;0.509375;0.2864583333333333;0.39444444444444443
-0.4;0.175;-0.175;-0.25;0.8947916666666667;0.209375;0.5805555555555556
-0.175;0.0;0.0;0.0;0.6145833333333334;0.23125;0.5027777777777778
0.0;0.2;0.175;0.0;0.471875;0.18645833333333334;0.44027777777777777
0.25;0.5;0.25;0.175;0.240625;0.109375;0.37083333333333335
0.0;0.0;1.0;0.0;0.565625;0.25;0.02361111111111111
0.375;0.175;0.0;0.25;0.115625;0.196875;0.4777777777777778
-0.175;-0.325;0.275;0.0;0.5947916666666667;0.340625;0.37083333333333335
0.0;0.875;0.375;0.0;0.475;0.10208333333333333;0.32916666666666666
-0.275;0.175;-0.175;-0.175;0.775;0.20104166666666667;0.5416666666666666
-0.175;0.0;0.95;-0.175;0.6114583333333333;0.25;0.06944444444444445
0.175;0.175;0.375;0.175;0.29791666666666666;0.22291666666666668;0.3416666666666667
0.0;0.0;0.0;0.0;0.44895833333333335;0.3;0.525
-0.175;-1.0;-0.175;0.0;0.584375;0.5791666666666667;0.5666666666666667
0.0;0.525;0.35;0.0;0.565625;0.09895833333333333;0.35694444444444445
0.0;0.175;0.175;0.0;0.546875;0.20208333333333334;0.4236111111111111
-0.375;0.0;-0.175;-0.25;0.884375;0.22916666666666666;0.5777777777777777
0.0;0.175;0.0;0.0;0.5708333333333333;0.21979166666666666;0.46805555555555556
0.0;-0.175;0.625;0.0;0.5104166666666666;0.2760416666666667;0.2263888888888889
0.325;-0.325;-0.4;0.225;0.17291666666666666;0.32395833333333335;0.6680555555555555
0.0;0.225;0.0;0.0;0.4947916666666667;0.18541666666666667;0.48333333333333334
0.0;0.0;-0.175;0.0;0.46770833333333334;0.271875;0.5319444444444444
0.4;0.0;-0.375;0.275;0.11145833333333334;0.25;0.6861111111111111
0.175;-0.175;0.0;0.0;0.425;0.29791666666666666;0.5347222222222222
0.175;-0.175;0.775;0.0;0.4041666666666667;0.28229166666666666;0.20555555555555555
-0.175;0.175;-0.6;0.0;0.634375;0.20833333333333334;0.7555555555555555
0.2;-0.175;-0.25;0.175;0.334375;0.278125;0.6208333333333333
-0.225;0.175;0.525;-0.175;0.7010416666666667;0.2;0.2625
-0.55;-0.325;-0.225;-0.375;1.0;0.25;0.6111111111111112
0.0;-0.45;-0.175;0.0;0.5541666666666667;0.37395833333333334;0.5236111111111111
-0.175;0.3;0.325;0.0;0.571875;0.17395833333333333;0.35694444444444445
0.175;0.0;0.0;0.175;0.35520833333333335;0.21354166666666666;0.5208333333333334
0.375;-0.2;0.2;0.25;0.159375;0.29791666666666666;0.41944444444444445
-0.45;-0.175;-0.8;-0.3;0.91875;0.25;0.8305555555555556
-0.225;0.175;-0.175;-0.175;0.7010416666666667;0.20520833333333333;0.5444444444444444
0.275;0.425;0.425;0.175;0.23645833333333333;0.134375;0.30277777777777776
-0.175;0.25;-0.425;0.0;0.5989583333333334;0.17916666666666667;0.6930555555555555
-0.45;0.35;-0.175;-0.3;0.9125;0.17395833333333333;0.5694444444444444
-0.175;0.0;0.275;-0.175;0.61875;0.23541666666666666;0.34305555555555556
-0.175;-0.75;0.175;0.0;0.6166666666666667;0.471875;0.4875
-0.175;0.175;0.0;0.0;0.5739583333333333;0.2125;0.4652777777777778
0.3;0.4;0.325;0.2;0.19270833333333334;0.13541666666666666;0.35555555555555557
0.0;0.175;0.175;0.0;0.465625;0.20104166666666667;0.4597222222222222
0.0;-0.175;0.0;0.0;0.46875;0.28020833333333334;0.5277777777777778
0.0;0.0;0.0;0.0;0.5010416666666667;0.24166666666666667;0.5291666666666667
0.0;0.2;0.2;0.0;0.5697916666666667;0.20416666666666666;0.4152777777777778
-0.4;0.175;-0.2;-0.25;0.878125;0.24166666666666667;0.5555555555555556
0.0;0.0;0.4;0.0;0.47708333333333336;0.25;0.31805555555555554
0.0;0.0;0.0;0.0;0.5708333333333333;0.24583333333333332;0.5027777777777778
